method name,message
log,"[""Page view tracked: /artists""]"
log,"[""Page view tracked: /artists?q=o""]"
log,"[""Page view tracked: /artists?q=ou""]"
log,"[""Page view tracked: /artists?q=our""]"
log,"[""Page view tracked: /artists?q=our+""]"
log,"[""Page view tracked: /artists?q=our+l""]"
log,"[""Page view tracked: /artists?q=our+li""]"
log,"[""Page view tracked: /artists?q=our+lis""]"
log,"[""Page view tracked: /artists?q=our+list""]"
log,"[""Page view tracked: /artists?q=our+li""]"
log,"[""Page view tracked: /artists?q=our+l""]"
log,"[""Page view tracked: /artists?q=our+ll""]"
log,"[""Page view tracked: /artists?q=our+lla""]"
log,"[""Page view tracked: /artists?q=our+ll""]"
log,"[""Page view tracked: /artists?q=our+l""]"
log,"[""Page view tracked: /artists?q=our+la""]"
log,"[""Page view tracked: /artists?q=our+las""]"
log,"[""Page view tracked: /artists?q=our+last""]"
log,"[""[ArtistSearchResults] Invoking sync-artist for Our Last Night (ID: K8vZ917GtG0)""]"
log,"[""Fetching events for artist ID: K8vZ917GtG0""]"
log,"[""[useArtistDetail] Artist loaded, syncing: Our Last Night (K8vZ917GtG0)""]"
log,"[""Calling Ticketmaster API: http://localhost:8080/api/ticketmaster?endpoint=events.json&attractionId=K8vZ917GtG0&segmentName=Music&sort=date%2Casc&size=100 (attempt 1)""]"
error,"[""[ArtistSearchResults] Error invoking sync-artist for Our Last Night:"",{""name"":""FunctionsFetchError"",""context"":{}}]"
error,"[""[useArtistDetail] Error syncing artist Our Last Night:"",{""name"":""FunctionsFetchError"",""context"":{}}]"
error,"[""Error fetching past setlists via API route:"",{}]"
log,"[""Retrying API call (2/3)""]"
log,"[""Calling Ticketmaster API: http://localhost:8080/api/ticketmaster?endpoint=events.json&attractionId=K8vZ917GtG0&segmentName=Music&sort=date%2Casc&size=100 (attempt 3)""]"
log,"[""Retrying API call (3/3)""]"
